Team,Phase of Play,Action,Quarter,x,y,Count
home,attacking transition,reccovery,1,1,4,1
home,attacking transition,reccovery,1,2,4,0
home,attacking transition,reccovery,1,3,4,0
home,attacking transition,reccovery,1,4,4,0
home,attacking transition,reccovery,1,5,4,0
home,attacking transition,reccovery,1,1,3,0
home,attacking transition,reccovery,1,2,3,0
home,attacking transition,reccovery,1,3,3,0
home,attacking transition,reccovery,1,4,3,0
home,attacking transition,reccovery,1,5,3,1
home,attacking transition,reccovery,1,1,2,1
home,attacking transition,reccovery,1,2,2,0
home,attacking transition,reccovery,1,3,2,0
home,attacking transition,reccovery,1,4,2,0
home,attacking transition,reccovery,1,5,2,1
home,attacking transition,reccovery,1,1,1,5
home,attacking transition,reccovery,1,2,1,1
home,attacking transition,reccovery,1,3,1,1
home,attacking transition,reccovery,1,4,1,2
home,attacking transition,reccovery,1,5,1,6
home,attacking transition,reccovery,2,1,4,0
home,attacking transition,reccovery,2,2,4,0
home,attacking transition,reccovery,2,3,4,0
home,attacking transition,reccovery,2,4,4,0
home,attacking transition,reccovery,2,5,4,0
home,attacking transition,reccovery,2,1,3,2
home,attacking transition,reccovery,2,2,3,0
home,attacking transition,reccovery,2,3,3,2
home,attacking transition,reccovery,2,4,3,1
home,attacking transition,reccovery,2,5,3,3
home,attacking transition,reccovery,2,1,2,1
home,attacking transition,reccovery,2,2,2,1
home,attacking transition,reccovery,2,3,2,0
home,attacking transition,reccovery,2,4,2,0
home,attacking transition,reccovery,2,5,2,0
home,attacking transition,reccovery,2,1,1,0
home,attacking transition,reccovery,2,2,1,4
home,attacking transition,reccovery,2,3,1,3
home,attacking transition,reccovery,2,4,1,2
home,attacking transition,reccovery,2,5,1,0
home,attacking transition,reccovery,3,1,4,0
home,attacking transition,reccovery,3,2,4,2
home,attacking transition,reccovery,3,3,4,0
home,attacking transition,reccovery,3,4,4,1
home,attacking transition,reccovery,3,5,4,1
home,attacking transition,reccovery,3,1,3,0
home,attacking transition,reccovery,3,2,3,2
home,attacking transition,reccovery,3,3,3,2
home,attacking transition,reccovery,3,4,3,2
home,attacking transition,reccovery,3,5,3,1
home,attacking transition,reccovery,3,1,2,0
home,attacking transition,reccovery,3,2,2,1
home,attacking transition,reccovery,3,3,2,2
home,attacking transition,reccovery,3,4,2,1
home,attacking transition,reccovery,3,5,2,3
home,attacking transition,reccovery,3,1,1,1
home,attacking transition,reccovery,3,2,1,1
home,attacking transition,reccovery,3,3,1,0
home,attacking transition,reccovery,3,4,1,0
home,attacking transition,reccovery,3,5,1,0
home,attacking transition,reccovery,4,1,4,0
home,attacking transition,reccovery,4,2,4,1
home,attacking transition,reccovery,4,3,4,1
home,attacking transition,reccovery,4,4,4,0
home,attacking transition,reccovery,4,5,4,0
home,attacking transition,reccovery,4,1,3,0
home,attacking transition,reccovery,4,2,3,2
home,attacking transition,reccovery,4,3,3,0
home,attacking transition,reccovery,4,4,3,4
home,attacking transition,reccovery,4,5,3,3
home,attacking transition,reccovery,4,1,2,1
home,attacking transition,reccovery,4,2,2,0
home,attacking transition,reccovery,4,3,2,0
home,attacking transition,reccovery,4,4,2,1
home,attacking transition,reccovery,4,5,2,5
home,attacking transition,reccovery,4,1,1,0
home,attacking transition,reccovery,4,2,1,0
home,attacking transition,reccovery,4,3,1,0
home,attacking transition,reccovery,4,4,1,0
home,attacking transition,reccovery,4,5,1,0
home,defensive transition,ball lost,1,1,4,1
home,defensive transition,ball lost,1,2,4,1
home,defensive transition,ball lost,1,3,4,1
home,defensive transition,ball lost,1,4,4,1
home,defensive transition,ball lost,1,5,4,0
home,defensive transition,ball lost,1,1,3,2
home,defensive transition,ball lost,1,2,3,2
home,defensive transition,ball lost,1,3,3,0
home,defensive transition,ball lost,1,4,3,1
home,defensive transition,ball lost,1,5,3,5
home,defensive transition,ball lost,1,1,2,2
home,defensive transition,ball lost,1,2,2,0
home,defensive transition,ball lost,1,3,2,0
home,defensive transition,ball lost,1,4,2,0
home,defensive transition,ball lost,1,5,2,3
home,defensive transition,ball lost,1,1,1,5
home,defensive transition,ball lost,1,2,1,1
home,defensive transition,ball lost,1,3,1,1
home,defensive transition,ball lost,1,4,1,2
home,defensive transition,ball lost,1,5,1,6
home,defensive transition,ball lost,2,1,4,0
home,defensive transition,ball lost,2,2,4,1
home,defensive transition,ball lost,2,3,4,4
home,defensive transition,ball lost,2,4,4,3
home,defensive transition,ball lost,2,5,4,0
home,defensive transition,ball lost,2,1,3,0
home,defensive transition,ball lost,2,2,3,1
home,defensive transition,ball lost,2,3,3,1
home,defensive transition,ball lost,2,4,3,1
home,defensive transition,ball lost,2,5,3,2
home,defensive transition,ball lost,2,1,2,2
home,defensive transition,ball lost,2,2,2,0
home,defensive transition,ball lost,2,3,2,1
home,defensive transition,ball lost,2,4,2,0
home,defensive transition,ball lost,2,5,2,2
home,defensive transition,ball lost,2,1,1,0
home,defensive transition,ball lost,2,2,1,0
home,defensive transition,ball lost,2,3,1,0
home,defensive transition,ball lost,2,4,1,1
home,defensive transition,ball lost,2,5,1,0
home,defensive transition,ball lost,3,1,4,1
home,defensive transition,ball lost,3,2,4,0
home,defensive transition,ball lost,3,3,4,0
home,defensive transition,ball lost,3,4,4,0
home,defensive transition,ball lost,3,5,4,1
home,defensive transition,ball lost,3,1,3,0
home,defensive transition,ball lost,3,2,3,0
home,defensive transition,ball lost,3,3,3,1
home,defensive transition,ball lost,3,4,3,0
home,defensive transition,ball lost,3,5,3,1
home,defensive transition,ball lost,3,1,2,0
home,defensive transition,ball lost,3,2,2,1
home,defensive transition,ball lost,3,3,2,0
home,defensive transition,ball lost,3,4,2,0
home,defensive transition,ball lost,3,5,2,2
home,defensive transition,ball lost,3,1,1,0
home,defensive transition,ball lost,3,2,1,5
home,defensive transition,ball lost,3,3,1,3
home,defensive transition,ball lost,3,4,1,2
home,defensive transition,ball lost,3,5,1,3
home,defensive transition,ball lost,4,1,4,0
home,defensive transition,ball lost,4,2,4,0
home,defensive transition,ball lost,4,3,4,0
home,defensive transition,ball lost,4,4,4,0
home,defensive transition,ball lost,4,5,4,0
home,defensive transition,ball lost,4,1,3,1
home,defensive transition,ball lost,4,2,3,0
home,defensive transition,ball lost,4,3,3,0
home,defensive transition,ball lost,4,4,3,0
home,defensive transition,ball lost,4,5,3,1
home,defensive transition,ball lost,4,1,2,0
home,defensive transition,ball lost,4,2,2,0
home,defensive transition,ball lost,4,3,2,0
home,defensive transition,ball lost,4,4,2,2
home,defensive transition,ball lost,4,5,2,0
home,defensive transition,ball lost,4,1,1,0
home,defensive transition,ball lost,4,2,1,0
home,defensive transition,ball lost,4,3,1,2
home,defensive transition,ball lost,4,4,1,5
home,defensive transition,ball lost,4,5,1,5
home,defensive transition,ball lost by foul,1,1,4,0
home,defensive transition,ball lost by foul,1,2,4,0
home,defensive transition,ball lost by foul,1,3,4,0
home,defensive transition,ball lost by foul,1,4,4,0
home,defensive transition,ball lost by foul,1,5,4,0
home,defensive transition,ball lost by foul,1,1,3,0
home,defensive transition,ball lost by foul,1,2,3,0
home,defensive transition,ball lost by foul,1,3,3,0
home,defensive transition,ball lost by foul,1,4,3,1
home,defensive transition,ball lost by foul,1,5,3,0
home,defensive transition,ball lost by foul,1,1,2,2
home,defensive transition,ball lost by foul,1,2,2,1
home,defensive transition,ball lost by foul,1,3,2,0
home,defensive transition,ball lost by foul,1,4,2,0
home,defensive transition,ball lost by foul,1,5,2,1
home,defensive transition,ball lost by foul,1,1,1,3
home,defensive transition,ball lost by foul,1,2,1,0
home,defensive transition,ball lost by foul,1,3,1,0
home,defensive transition,ball lost by foul,1,4,1,0
home,defensive transition,ball lost by foul,1,5,1,0
home,defensive transition,ball lost by foul,2,1,4,0
home,defensive transition,ball lost by foul,2,2,4,1
home,defensive transition,ball lost by foul,2,3,4,0
home,defensive transition,ball lost by foul,2,4,4,1
home,defensive transition,ball lost by foul,2,5,4,0
home,defensive transition,ball lost by foul,2,1,3,3
home,defensive transition,ball lost by foul,2,2,3,1
home,defensive transition,ball lost by foul,2,3,3,0
home,defensive transition,ball lost by foul,2,4,3,2
home,defensive transition,ball lost by foul,2,5,3,0
home,defensive transition,ball lost by foul,2,1,2,1
home,defensive transition,ball lost by foul,2,2,2,1
home,defensive transition,ball lost by foul,2,3,2,1
home,defensive transition,ball lost by foul,2,4,2,0
home,defensive transition,ball lost by foul,2,5,2,1
home,defensive transition,ball lost by foul,2,1,1,1
home,defensive transition,ball lost by foul,2,2,1,1
home,defensive transition,ball lost by foul,2,3,1,1
home,defensive transition,ball lost by foul,2,4,1,0
home,defensive transition,ball lost by foul,2,5,1,0
home,defensive transition,ball lost by foul,3,1,4,0
home,defensive transition,ball lost by foul,3,2,4,0
home,defensive transition,ball lost by foul,3,3,4,1
home,defensive transition,ball lost by foul,3,4,4,1
home,defensive transition,ball lost by foul,3,5,4,2
home,defensive transition,ball lost by foul,3,1,3,1
home,defensive transition,ball lost by foul,3,2,3,0
home,defensive transition,ball lost by foul,3,3,3,2
home,defensive transition,ball lost by foul,3,4,3,0
home,defensive transition,ball lost by foul,3,5,3,0
home,defensive transition,ball lost by foul,3,1,2,0
home,defensive transition,ball lost by foul,3,2,2,0
home,defensive transition,ball lost by foul,3,3,2,0
home,defensive transition,ball lost by foul,3,4,2,0
home,defensive transition,ball lost by foul,3,5,2,0
home,defensive transition,ball lost by foul,3,1,1,0
home,defensive transition,ball lost by foul,3,2,1,0
home,defensive transition,ball lost by foul,3,3,1,2
home,defensive transition,ball lost by foul,3,4,1,2
home,defensive transition,ball lost by foul,3,5,1,0
home,defensive transition,ball lost by foul,4,1,4,0
home,defensive transition,ball lost by foul,4,2,4,0
home,defensive transition,ball lost by foul,4,3,4,0
home,defensive transition,ball lost by foul,4,4,4,0
home,defensive transition,ball lost by foul,4,5,4,1
home,defensive transition,ball lost by foul,4,1,3,0
home,defensive transition,ball lost by foul,4,2,3,0
home,defensive transition,ball lost by foul,4,3,3,0
home,defensive transition,ball lost by foul,4,4,3,0
home,defensive transition,ball lost by foul,4,5,3,0
home,defensive transition,ball lost by foul,4,1,2,3
home,defensive transition,ball lost by foul,4,2,2,0
home,defensive transition,ball lost by foul,4,3,2,1
home,defensive transition,ball lost by foul,4,4,2,0
home,defensive transition,ball lost by foul,4,5,2,1
home,defensive transition,ball lost by foul,4,1,1,1
home,defensive transition,ball lost by foul,4,2,1,1
home,defensive transition,ball lost by foul,4,3,1,0
home,defensive transition,ball lost by foul,4,4,1,0
home,defensive transition,ball lost by foul,4,5,1,0